Index	Red	Green	Blue
0	1	1	7
1	1	1	30
2	1	1	53
3	1	1	64
4	1	1	81
5	1	1	89
6	1	1	98
7	1	1	115
8	1	1	126
9	1	1	137
10	1	1	143
11	1	1	154
12	1	1	165
13	1	1	174
14	1	7	177
15	1	18	188
16	1	30	198
17	1	36	204
18	1	47	215
19	1	53	220
20	1	64	232
21	1	70	237
22	1	81	248
23	1	85	254
24	1	93	254
25	1	98	254
26	1	109	254
27	1	115	254
28	1	121	254
29	1	132	254
30	1	137	254
31	1	143	254
32	1	154	254
33	1	160	254
34	1	165	254
35	1	174	254
36	1	177	254
37	1	182	254
38	1	188	254
39	1	198	254
40	1	204	254
41	1	209	254
42	1	215	254
43	1	220	254
44	1	232	254
45	1	237	254
46	1	243	254
47	1	248	254
48	1	254	254
49	1	254	254
50	1	254	254
51	1	254	254
52	1	254	254
53	1	254	254
54	1	254	254
55	1	254	254
56	1	254	254
57	1	254	254
58	1	254	254
59	1	254	254
60	1	254	254
61	1	254	254
62	1	254	254
63	1	254	238
64	10	254	222
65	18	254	206
66	27	254	191
67	36	254	175
68	45	254	159
69	53	254	143
70	62	254	127
71	70	254	111
72	79	254	95
73	87	254	79
74	96	254	64
75	105	254	48
76	114	254	32
77	122	254	16
78	128	254	1
79	134	254	1
80	139	252	1
81	148	250	1
82	156	248	1
83	164	245	1
84	172	243	1
85	181	241	1
86	189	239	1
87	196	237	1
88	204	235	1
89	213	233	1
90	221	231	1
91	229	228	1
92	237	226	1
93	246	224	1
94	254	222	1
95	254	222	1
96	254	219	1
97	254	217	1
98	254	214	1
99	254	214	1
100	254	211	1
101	254	209	1
102	254	206	1
103	254	203	1
104	254	201	1
105	254	198	1
106	254	195	1
107	254	193	1
108	254	191	1
109	254	188	1
110	254	186	1
111	254	186	1
112	254	184	1
113	254	182	1
114	254	180	1
115	254	176	1
116	254	173	1
117	254	169	1
118	254	166	1
119	254	162	1
120	254	162	1
121	254	159	1
122	254	155	1
123	254	152	1
124	254	148	1
125	254	145	1
126	254	141	1
127	254	138	1
128	254	138	1
129	254	134	1
130	254	129	1
131	254	131	1
132	254	127	1
133	254	122	1
134	254	118	1
135	254	118	1
136	254	114	1
137	254	110	1
138	254	105	1
139	254	101	1
140	254	97	1
141	254	97	1
142	254	93	1
143	254	88	1
144	254	84	1
145	254	80	1
146	254	76	1
147	254	76	1
148	254	71	1
149	254	66	1
150	254	68	1
151	254	64	1
152	254	59	1
153	254	59	1
154	254	55	1
155	254	50	1
156	254	46	1
157	254	41	1
158	254	41	1
159	254	37	1
160	254	32	1
161	254	28	1
162	254	23	1
163	254	23	1
164	254	19	1
165	254	14	1
166	254	10	1
167	254	5	1
168	254	5	1
169	254	1	1
170	254	1	1
171	252	14	14
172	250	26	26
173	250	26	26
174	248	39	39
175	245	52	52
176	243	64	64
177	243	64	64
178	241	76	76
179	239	89	89
180	237	102	102
181	235	115	115
182	235	115	115
183	233	127	127
184	231	140	140
185	228	153	153
186	228	153	153
187	226	166	166
188	224	178	178
189	222	183	183
190	222	188	188
191	222	188	188
192	222	192	192
193	222	194	194
194	222	196	196
195	222	196	196
196	222	199	199
197	222	201	201
198	222	203	203
199	222	203	203
200	222	205	205
201	222	207	207
202	222	209	209
203	222	209	209
204	222	211	211
205	222	213	213
206	222	216	216
207	222	216	216
208	222	218	218
209	222	220	220
210	222	222	222
211	222	222	222
212	222	222	222
213	224	224	224
214	226	226	226
215	226	226	226
216	228	228	228
217	231	231	231
218	231	231	231
219	233	233	233
220	235	235	235
221	237	237	237
222	237	237	237
223	239	239	239
224	241	241	241
225	243	243	243
226	243	243	243
227	245	245	245
228	248	248	248
229	250	250	250
230	250	250	250
231	252	252	252
232	254	254	254
233	254	254	254
234	254	254	254
235	254	254	254
236	254	254	254
237	254	254	254
238	254	254	254
239	254	254	254
240	254	254	254
241	254	254	254
242	254	254	254
243	254	254	254
244	254	254	254
245	254	254	254
246	254	254	254
247	254	254	254
248	254	254	254
249	254	254	254
250	254	254	254
251	254	254	254
252	254	254	254
253	254	254	254
254	254	254	254
255	254	254	254
