Index	Red	Green	Blue
0	1	1	7
1	1	1	154
2	1	30	198
3	1	64	232
4	1	89	254
5	1	115	254
6	1	137	254
7	1	160	254
8	1	174	254
9	1	188	254
10	1	204	254
11	1	220	254
12	1	232	254
13	1	248	254
14	1	254	254
15	1	254	254
16	1	254	254
17	1	254	254
18	1	254	254
19	1	254	254
20	1	254	254
21	1	254	254
22	1	254	238
23	10	254	222
24	27	254	191
25	45	254	159
26	53	254	143
27	70	254	111
28	79	254	95
29	96	254	64
30	105	254	48
31	122	254	16
32	128	254	1
33	139	252	1
34	148	250	1
35	156	248	1
36	172	243	1
37	181	241	1
38	189	239	1
39	196	237	1
40	213	233	1
41	221	231	1
42	229	228	1
43	237	226	1
44	246	224	1
45	254	222	1
46	254	219	1
47	254	217	1
48	254	214	1
49	254	211	1
50	254	209	1
51	254	206	1
52	254	203	1
53	254	201	1
54	254	198	1
55	254	195	1
56	254	193	1
57	254	191	1
58	254	188	1
59	254	186	1
60	254	184	1
61	254	182	1
62	254	180	1
63	254	176	1
64	254	173	1
65	254	169	1
66	254	166	1
67	254	166	1
68	254	162	1
69	254	159	1
70	254	155	1
71	254	152	1
72	254	148	1
73	254	145	1
74	254	145	1
75	254	141	1
76	254	138	1
77	254	134	1
78	254	129	1
79	254	131	1
80	254	131	1
81	254	127	1
82	254	122	1
83	254	118	1
84	254	114	1
85	254	114	1
86	254	110	1
87	254	105	1
88	254	101	1
89	254	101	1
90	254	97	1
91	254	93	1
92	254	88	1
93	254	88	1
94	254	84	1
95	254	80	1
96	254	76	1
97	254	76	1
98	254	71	1
99	254	66	1
100	254	66	1
101	254	68	1
102	254	64	1
103	254	64	1
104	254	59	1
105	254	55	1
106	254	55	1
107	254	50	1
108	254	46	1
109	254	41	1
110	254	41	1
111	254	37	1
112	254	37	1
113	254	32	1
114	254	28	1
115	254	28	1
116	254	23	1
117	254	19	1
118	254	19	1
119	254	14	1
120	254	10	1
121	254	10	1
122	254	5	1
123	254	5	1
124	254	1	1
125	254	1	1
126	254	1	1
127	252	14	14
128	250	26	26
129	250	26	26
130	248	39	39
131	248	39	39
132	245	52	52
133	243	64	64
134	243	64	64
135	241	76	76
136	241	76	76
137	239	89	89
138	239	89	89
139	237	102	102
140	235	115	115
141	235	115	115
142	233	127	127
143	233	127	127
144	231	140	140
145	231	140	140
146	228	153	153
147	226	166	166
148	226	166	166
149	224	178	178
150	224	178	178
151	222	183	183
152	222	183	183
153	222	188	188
154	222	188	188
155	222	192	192
156	222	192	192
157	222	194	194
158	222	196	196
159	222	196	196
160	222	199	199
161	222	199	199
162	222	201	201
163	222	201	201
164	222	203	203
165	222	203	203
166	222	205	205
167	222	205	205
168	222	207	207
169	222	207	207
170	222	209	209
171	222	209	209
172	222	211	211
173	222	211	211
174	222	213	213
175	222	213	213
176	222	216	216
177	222	216	216
178	222	218	218
179	222	218	218
180	222	220	220
181	222	220	220
182	222	222	222
183	222	222	222
184	222	222	222
185	222	222	222
186	224	224	224
187	224	224	224
188	226	226	226
189	226	226	226
190	228	228	228
191	228	228	228
192	231	231	231
193	231	231	231
194	233	233	233
195	233	233	233
196	235	235	235
197	235	235	235
198	235	235	235
199	237	237	237
200	237	237	237
201	239	239	239
202	239	239	239
203	241	241	241
204	241	241	241
205	243	243	243
206	243	243	243
207	245	245	245
208	245	245	245
209	245	245	245
210	248	248	248
211	248	248	248
212	250	250	250
213	250	250	250
214	252	252	252
215	252	252	252
216	254	254	254
217	254	254	254
218	254	254	254
219	254	254	254
220	254	254	254
221	254	254	254
222	254	254	254
223	254	254	254
224	254	254	254
225	254	254	254
226	254	254	254
227	254	254	254
228	254	254	254
229	254	254	254
230	254	254	254
231	254	254	254
232	254	254	254
233	254	254	254
234	254	254	254
235	254	254	254
236	254	254	254
237	254	254	254
238	254	254	254
239	254	254	254
240	254	254	254
241	254	254	254
242	254	254	254
243	254	254	254
244	254	254	254
245	254	254	254
246	254	254	254
247	254	254	254
248	254	254	254
249	254	254	254
250	254	254	254
251	254	254	254
252	254	254	254
253	254	254	254
254	254	254	254
255	254	254	254
