Index	Red	Green	Blue
0	1	1	7
1	1	1	89
2	1	1	126
3	1	1	154
4	1	1	174
5	1	24	192
6	1	42	209
7	1	59	226
8	1	75	243
9	1	89	254
10	1	98	254
11	1	115	254
12	1	126	254
13	1	143	254
14	1	154	254
15	1	165	254
16	1	174	254
17	1	182	254
18	1	192	254
19	1	204	254
20	1	209	254
21	1	220	254
22	1	232	254
23	1	243	254
24	1	248	254
25	1	254	254
26	1	254	254
27	1	254	254
28	1	254	254
29	1	254	254
30	1	254	254
31	1	254	254
32	1	254	254
33	1	254	254
34	1	254	254
35	1	254	254
36	1	254	238
37	10	254	222
38	18	254	206
39	36	254	175
40	45	254	159
41	53	254	143
42	62	254	127
43	79	254	95
44	87	254	79
45	96	254	64
46	105	254	48
47	114	254	32
48	128	254	1
49	134	254	1
50	139	252	1
51	148	250	1
52	156	248	1
53	164	245	1
54	172	243	1
55	181	241	1
56	189	239	1
57	204	235	1
58	213	233	1
59	221	231	1
60	229	228	1
61	237	226	1
62	246	224	1
63	254	222	1
64	254	222	1
65	254	219	1
66	254	217	1
67	254	214	1
68	254	211	1
69	254	209	1
70	254	206	1
71	254	203	1
72	254	203	1
73	254	201	1
74	254	198	1
75	254	195	1
76	254	193	1
77	254	191	1
78	254	188	1
79	254	186	1
80	254	184	1
81	254	182	1
82	254	180	1
83	254	180	1
84	254	176	1
85	254	173	1
86	254	169	1
87	254	166	1
88	254	162	1
89	254	159	1
90	254	159	1
91	254	155	1
92	254	152	1
93	254	148	1
94	254	145	1
95	254	141	1
96	254	141	1
97	254	138	1
98	254	134	1
99	254	129	1
100	254	131	1
101	254	131	1
102	254	127	1
103	254	122	1
104	254	118	1
105	254	114	1
106	254	114	1
107	254	110	1
108	254	105	1
109	254	101	1
110	254	101	1
111	254	97	1
112	254	93	1
113	254	88	1
114	254	88	1
115	254	84	1
116	254	80	1
117	254	76	1
118	254	76	1
119	254	71	1
120	254	66	1
121	254	68	1
122	254	68	1
123	254	64	1
124	254	59	1
125	254	55	1
126	254	55	1
127	254	50	1
128	254	46	1
129	254	46	1
130	254	41	1
131	254	37	1
132	254	37	1
133	254	32	1
134	254	28	1
135	254	23	1
136	254	23	1
137	254	19	1
138	254	14	1
139	254	14	1
140	254	10	1
141	254	5	1
142	254	5	1
143	254	1	1
144	254	1	1
145	254	1	1
146	252	14	14
147	250	26	26
148	250	26	26
149	248	39	39
150	245	52	52
151	245	52	52
152	243	64	64
153	241	76	76
154	241	76	76
155	239	89	89
156	239	89	89
157	237	102	102
158	235	115	115
159	235	115	115
160	233	127	127
161	231	140	140
162	231	140	140
163	228	153	153
164	228	153	153
165	226	166	166
166	224	178	178
167	224	178	178
168	222	183	183
169	222	188	188
170	222	188	188
171	222	192	192
172	222	192	192
173	222	194	194
174	222	196	196
175	222	196	196
176	222	199	199
177	222	199	199
178	222	201	201
179	222	203	203
180	222	203	203
181	222	205	205
182	222	205	205
183	222	207	207
184	222	209	209
185	222	209	209
186	222	211	211
187	222	211	211
188	222	213	213
189	222	216	216
190	222	216	216
191	222	218	218
192	222	218	218
193	222	220	220
194	222	220	220
195	222	222	222
196	222	222	222
197	222	222	222
198	224	224	224
199	224	224	224
200	226	226	226
201	226	226	226
202	228	228	228
203	231	231	231
204	231	231	231
205	233	233	233
206	233	233	233
207	235	235	235
208	235	235	235
209	237	237	237
210	237	237	237
211	239	239	239
212	241	241	241
213	241	241	241
214	243	243	243
215	243	243	243
216	245	245	245
217	245	245	245
218	248	248	248
219	248	248	248
220	250	250	250
221	250	250	250
222	252	252	252
223	252	252	252
224	254	254	254
225	254	254	254
226	254	254	254
227	254	254	254
228	254	254	254
229	254	254	254
230	254	254	254
231	254	254	254
232	254	254	254
233	254	254	254
234	254	254	254
235	254	254	254
236	254	254	254
237	254	254	254
238	254	254	254
239	254	254	254
240	254	254	254
241	254	254	254
242	254	254	254
243	254	254	254
244	254	254	254
245	254	254	254
246	254	254	254
247	254	254	254
248	254	254	254
249	254	254	254
250	254	254	254
251	254	254	254
252	254	254	254
253	254	254	254
254	254	254	254
255	254	254	254
